File Name,File Version,Update Date,Week Ending Date,Formatted Date,SSA Month,SSA Weeks in Month,SSA Quarter Date,Fiscal Year,Fiscal Quarter Number,Fiscal Week,Calendar Year,Calendar Quarter Number,Calendar Quarter Date,Notes,,Fiscal Quarter Number,
SSA-DATES1.csv,1,6/1/2010,10/6/2000,10/6/2000,2000-10,4,2000-12,2001,2001-1,1,2000,2000-4,2000-12,,,2001,1
SSA-DATES1.csv,1,6/1/2010,10/13/2000,10/13/2000,2000-10,4,2000-12,2001,2001-1,2,2000,2000-4,2000-12,,,2001,1
SSA-DATES1.csv,1,6/1/2010,10/20/2000,10/20/2000,2000-10,4,2000-12,2001,2001-1,3,2000,2000-4,2000-12,,,2001,1
SSA-DATES1.csv,1,6/1/2010,10/27/2000,10/27/2000,2000-10,4,2000-12,2001,2001-1,4,2000,2000-4,2000-12,,,2001,1
SSA-DATES1.csv,1,6/1/2010,11/3/2000,11/3/2000,2000-11,4,2000-12,2001,2001-1,5,2000,2000-4,2000-12,,,2001,1
SSA-DATES1.csv,1,6/1/2010,11/10/2000,11/10/2000,2000-11,4,2000-12,2001,2001-1,6,2000,2000-4,2000-12,,,2001,1
SSA-DATES1.csv,1,6/1/2010,11/17/2000,11/17/2000,2000-11,4,2000-12,2001,2001-1,7,2000,2000-4,2000-12,,,2001,1
SSA-DATES1.csv,1,6/1/2010,11/24/2000,11/24/2000,2000-11,4,2000-12,2001,2001-1,8,2000,2000-4,2000-12,,,2001,1
SSA-DATES1.csv,1,6/1/2010,12/1/2000,12/1/2000,2000-12,5,2000-12,2001,2001-1,9,2000,2000-4,2000-12,,,2001,1
SSA-DATES1.csv,1,6/1/2010,12/8/2000,12/8/2000,2000-12,5,2000-12,2001,2001-1,10,2000,2000-4,2000-12,,,2001,1
SSA-DATES1.csv,1,6/1/2010,12/15/2000,12/15/2000,2000-12,5,2000-12,2001,2001-1,11,2000,2000-4,2000-12,,,2001,1
SSA-DATES1.csv,1,6/1/2010,12/22/2000,12/22/2000,2000-12,5,2000-12,2001,2001-1,12,2000,2000-4,2000-12,,,2001,1
SSA-DATES1.csv,1,6/1/2010,12/29/2000,12/29/2000,2000-12,5,2000-12,2001,2001-1,13,2000,2000-4,2000-12,,,2001,1
SSA-DATES1.csv,1,6/1/2010,1/5/2001,1/5/2001,2001-01,4,2001-03,2001,2001-2,14,2001,2001-1,2001-03,,,2001,2
SSA-DATES1.csv,1,6/1/2010,1/12/2001,1/12/2001,2001-01,4,2001-03,2001,2001-2,15,2001,2001-1,2001-03,,,2001,2
SSA-DATES1.csv,1,6/1/2010,1/19/2001,1/19/2001,2001-01,4,2001-03,2001,2001-2,16,2001,2001-1,2001-03,,,2001,2
SSA-DATES1.csv,1,6/1/2010,1/26/2001,1/26/2001,2001-01,4,2001-03,2001,2001-2,17,2001,2001-1,2001-03,,,2001,2
SSA-DATES1.csv,1,6/1/2010,2/2/2001,2/2/2001,2001-02,4,2001-03,2001,2001-2,18,2001,2001-1,2001-03,,,2001,2
SSA-DATES1.csv,1,6/1/2010,2/9/2001,2/9/2001,2001-02,4,2001-03,2001,2001-2,19,2001,2001-1,2001-03,,,2001,2
SSA-DATES1.csv,1,6/1/2010,2/16/2001,2/16/2001,2001-02,4,2001-03,2001,2001-2,20,2001,2001-1,2001-03,,,2001,2
SSA-DATES1.csv,1,6/1/2010,2/23/2001,2/23/2001,2001-02,4,2001-03,2001,2001-2,21,2001,2001-1,2001-03,,,2001,2
SSA-DATES1.csv,1,6/1/2010,3/2/2001,3/2/2001,2001-03,5,2001-03,2001,2001-2,22,2001,2001-1,2001-03,,,2001,2
SSA-DATES1.csv,1,6/1/2010,3/9/2001,3/9/2001,2001-03,5,2001-03,2001,2001-2,23,2001,2001-1,2001-03,,,2001,2
SSA-DATES1.csv,1,6/1/2010,3/16/2001,3/16/2001,2001-03,5,2001-03,2001,2001-2,24,2001,2001-1,2001-03,,,2001,2
SSA-DATES1.csv,1,6/1/2010,3/23/2001,3/23/2001,2001-03,5,2001-03,2001,2001-2,25,2001,2001-1,2001-03,,,2001,2
SSA-DATES1.csv,1,6/1/2010,3/30/2001,3/30/2001,2001-03,5,2001-03,2001,2001-2,26,2001,2001-1,2001-03,,,2001,2
SSA-DATES1.csv,1,6/1/2010,4/6/2001,4/6/2001,2001-04,4,2001-06,2001,2001-3,27,2001,2001-2,2001-06,,,2001,3
SSA-DATES1.csv,1,6/1/2010,4/13/2001,4/13/2001,2001-04,4,2001-06,2001,2001-3,28,2001,2001-2,2001-06,,,2001,3
SSA-DATES1.csv,1,6/1/2010,4/20/2001,4/20/2001,2001-04,4,2001-06,2001,2001-3,29,2001,2001-2,2001-06,,,2001,3
SSA-DATES1.csv,1,6/1/2010,4/27/2001,4/27/2001,2001-04,4,2001-06,2001,2001-3,30,2001,2001-2,2001-06,,,2001,3
SSA-DATES1.csv,1,6/1/2010,5/4/2001,5/4/2001,2001-05,4,2001-06,2001,2001-3,31,2001,2001-2,2001-06,,,2001,3
SSA-DATES1.csv,1,6/1/2010,5/11/2001,5/11/2001,2001-05,4,2001-06,2001,2001-3,32,2001,2001-2,2001-06,,,2001,3
SSA-DATES1.csv,1,6/1/2010,5/18/2001,5/18/2001,2001-05,4,2001-06,2001,2001-3,33,2001,2001-2,2001-06,,,2001,3
SSA-DATES1.csv,1,6/1/2010,5/25/2001,5/25/2001,2001-05,4,2001-06,2001,2001-3,34,2001,2001-2,2001-06,,,2001,3
SSA-DATES1.csv,1,6/1/2010,6/1/2001,6/1/2001,2001-06,5,2001-06,2001,2001-3,35,2001,2001-2,2001-06,,,2001,3
SSA-DATES1.csv,1,6/1/2010,6/8/2001,6/8/2001,2001-06,5,2001-06,2001,2001-3,36,2001,2001-2,2001-06,,,2001,3
SSA-DATES1.csv,1,6/1/2010,6/15/2001,6/15/2001,2001-06,5,2001-06,2001,2001-3,37,2001,2001-2,2001-06,,,2001,3
SSA-DATES1.csv,1,6/1/2010,6/22/2001,6/22/2001,2001-06,5,2001-06,2001,2001-3,38,2001,2001-2,2001-06,,,2001,3
SSA-DATES1.csv,1,6/1/2010,6/29/2001,6/29/2001,2001-06,5,2001-06,2001,2001-3,39,2001,2001-2,2001-06,,,2001,3
SSA-DATES1.csv,1,6/1/2010,7/6/2001,7/6/2001,2001-07,4,2001-09,2001,2001-4,40,2001,2001-3,2001-09,,,2001,4
SSA-DATES1.csv,1,6/1/2010,7/13/2001,7/13/2001,2001-07,4,2001-09,2001,2001-4,41,2001,2001-3,2001-09,,,2001,4
SSA-DATES1.csv,1,6/1/2010,7/20/2001,7/20/2001,2001-07,4,2001-09,2001,2001-4,42,2001,2001-3,2001-09,,,2001,4
SSA-DATES1.csv,1,6/1/2010,7/27/2001,7/27/2001,2001-07,4,2001-09,2001,2001-4,43,2001,2001-3,2001-09,,,2001,4
SSA-DATES1.csv,1,6/1/2010,8/3/2001,8/3/2001,2001-08,5,2001-09,2001,2001-4,44,2001,2001-3,2001-09,,,2001,4
SSA-DATES1.csv,1,6/1/2010,8/10/2001,8/10/2001,2001-08,5,2001-09,2001,2001-4,45,2001,2001-3,2001-09,,,2001,4
SSA-DATES1.csv,1,6/1/2010,8/17/2001,8/17/2001,2001-08,5,2001-09,2001,2001-4,46,2001,2001-3,2001-09,,,2001,4
SSA-DATES1.csv,1,6/1/2010,8/24/2001,8/24/2001,2001-08,5,2001-09,2001,2001-4,47,2001,2001-3,2001-09,,,2001,4
SSA-DATES1.csv,1,6/1/2010,8/31/2001,8/31/2001,2001-08,5,2001-09,2001,2001-4,48,2001,2001-3,2001-09,,,2001,4
SSA-DATES1.csv,1,6/1/2010,9/7/2001,9/7/2001,2001-09,4,2001-09,2001,2001-4,49,2001,2001-3,2001-09,,,2001,4
SSA-DATES1.csv,1,6/1/2010,9/14/2001,9/14/2001,2001-09,4,2001-09,2001,2001-4,50,2001,2001-3,2001-09,,,2001,4
SSA-DATES1.csv,1,6/1/2010,9/21/2001,9/21/2001,2001-09,4,2001-09,2001,2001-4,51,2001,2001-3,2001-09,,,2001,4
SSA-DATES1.csv,1,6/1/2010,9/28/2001,9/28/2001,2001-09,4,2001-09,2001,2001-4,52,2001,2001-3,2001-09,,,2001,4
SSA-DATES1.csv,1,6/1/2010,10/5/2001,10/5/2001,2001-10,4,2001-12,2002,2002-1,1,2001,2001-4,2001-12,,,2002,1
SSA-DATES1.csv,1,6/1/2010,10/12/2001,10/12/2001,2001-10,4,2001-12,2002,2002-1,2,2001,2001-4,2001-12,,,2002,1
SSA-DATES1.csv,1,6/1/2010,10/19/2001,10/19/2001,2001-10,4,2001-12,2002,2002-1,3,2001,2001-4,2001-12,,,2002,1
SSA-DATES1.csv,1,6/1/2010,10/26/2001,10/26/2001,2001-10,4,2001-12,2002,2002-1,4,2001,2001-4,2001-12,,,2002,1
SSA-DATES1.csv,1,6/1/2010,11/2/2001,11/2/2001,2001-11,5,2001-12,2002,2002-1,5,2001,2001-4,2001-12,,,2002,1
SSA-DATES1.csv,1,6/1/2010,11/9/2001,11/9/2001,2001-11,5,2001-12,2002,2002-1,6,2001,2001-4,2001-12,,,2002,1
SSA-DATES1.csv,1,6/1/2010,11/16/2001,11/16/2001,2001-11,5,2001-12,2002,2002-1,7,2001,2001-4,2001-12,,,2002,1
SSA-DATES1.csv,1,6/1/2010,11/23/2001,11/23/2001,2001-11,5,2001-12,2002,2002-1,8,2001,2001-4,2001-12,,,2002,1
SSA-DATES1.csv,1,6/1/2010,11/30/2001,11/30/2001,2001-11,5,2001-12,2002,2002-1,9,2001,2001-4,2001-12,,,2002,1
SSA-DATES1.csv,1,6/1/2010,12/7/2001,12/7/2001,2001-12,4,2001-12,2002,2002-1,10,2001,2001-4,2001-12,,,2002,1
SSA-DATES1.csv,1,6/1/2010,12/14/2001,12/14/2001,2001-12,4,2001-12,2002,2002-1,11,2001,2001-4,2001-12,,,2002,1
SSA-DATES1.csv,1,6/1/2010,12/21/2001,12/21/2001,2001-12,4,2001-12,2002,2002-1,12,2001,2001-4,2001-12,,,2002,1
SSA-DATES1.csv,1,6/1/2010,12/28/2001,12/28/2001,2001-12,4,2001-12,2002,2002-1,13,2001,2001-4,2001-12,,,2002,1
SSA-DATES1.csv,1,6/1/2010,1/4/2002,1/4/2002,2002-01,4,2002-03,2002,2002-2,14,2002,2002-1,2002-03,,,2002,2
SSA-DATES1.csv,1,6/1/2010,1/11/2002,1/11/2002,2002-01,4,2002-03,2002,2002-2,15,2002,2002-1,2002-03,,,2002,2
SSA-DATES1.csv,1,6/1/2010,1/18/2002,1/18/2002,2002-01,4,2002-03,2002,2002-2,16,2002,2002-1,2002-03,,,2002,2
SSA-DATES1.csv,1,6/1/2010,1/25/2002,1/25/2002,2002-01,4,2002-03,2002,2002-2,17,2002,2002-1,2002-03,,,2002,2
SSA-DATES1.csv,1,6/1/2010,2/1/2002,2/1/2002,2002-02,4,2002-03,2002,2002-2,18,2002,2002-1,2002-03,,,2002,2
SSA-DATES1.csv,1,6/1/2010,2/8/2002,2/8/2002,2002-02,4,2002-03,2002,2002-2,19,2002,2002-1,2002-03,,,2002,2
SSA-DATES1.csv,1,6/1/2010,2/15/2002,2/15/2002,2002-02,4,2002-03,2002,2002-2,20,2002,2002-1,2002-03,,,2002,2
SSA-DATES1.csv,1,6/1/2010,2/22/2002,2/22/2002,2002-02,4,2002-03,2002,2002-2,21,2002,2002-1,2002-03,,,2002,2
SSA-DATES1.csv,1,6/1/2010,3/1/2002,3/1/2002,2002-03,5,2002-03,2002,2002-2,22,2002,2002-1,2002-03,,,2002,2
SSA-DATES1.csv,1,6/1/2010,3/8/2002,3/8/2002,2002-03,5,2002-03,2002,2002-2,23,2002,2002-1,2002-03,,,2002,2
SSA-DATES1.csv,1,6/1/2010,3/15/2002,3/15/2002,2002-03,5,2002-03,2002,2002-2,24,2002,2002-1,2002-03,,,2002,2
SSA-DATES1.csv,1,6/1/2010,3/22/2002,3/22/2002,2002-03,5,2002-03,2002,2002-2,25,2002,2002-1,2002-03,,,2002,2
SSA-DATES1.csv,1,6/1/2010,3/29/2002,3/29/2002,2002-03,5,2002-03,2002,2002-2,26,2002,2002-1,2002-03,,,2002,2
SSA-DATES1.csv,1,6/1/2010,4/5/2002,4/5/2002,2002-04,4,2002-06,2002,2002-3,27,2002,2002-2,2002-06,,,2002,3
SSA-DATES1.csv,1,6/1/2010,4/12/2002,4/12/2002,2002-04,4,2002-06,2002,2002-3,28,2002,2002-2,2002-06,,,2002,3
SSA-DATES1.csv,1,6/1/2010,4/19/2002,4/19/2002,2002-04,4,2002-06,2002,2002-3,29,2002,2002-2,2002-06,,,2002,3
SSA-DATES1.csv,1,6/1/2010,4/26/2002,4/26/2002,2002-04,4,2002-06,2002,2002-3,30,2002,2002-2,2002-06,,,2002,3
SSA-DATES1.csv,1,6/1/2010,5/3/2002,5/3/2002,2002-05,5,2002-06,2002,2002-3,31,2002,2002-2,2002-06,,,2002,3
SSA-DATES1.csv,1,6/1/2010,5/10/2002,5/10/2002,2002-05,5,2002-06,2002,2002-3,32,2002,2002-2,2002-06,,,2002,3
SSA-DATES1.csv,1,6/1/2010,5/17/2002,5/17/2002,2002-05,5,2002-06,2002,2002-3,33,2002,2002-2,2002-06,,,2002,3
SSA-DATES1.csv,1,6/1/2010,5/24/2002,5/24/2002,2002-05,5,2002-06,2002,2002-3,34,2002,2002-2,2002-06,,,2002,3
SSA-DATES1.csv,1,6/1/2010,5/31/2002,5/31/2002,2002-05,5,2002-06,2002,2002-3,35,2002,2002-2,2002-06,,,2002,3
SSA-DATES1.csv,1,6/1/2010,6/7/2002,6/7/2002,2002-06,4,2002-06,2002,2002-3,36,2002,2002-2,2002-06,,,2002,3
SSA-DATES1.csv,1,6/1/2010,6/14/2002,6/14/2002,2002-06,4,2002-06,2002,2002-3,37,2002,2002-2,2002-06,,,2002,3
SSA-DATES1.csv,1,6/1/2010,6/21/2002,6/21/2002,2002-06,4,2002-06,2002,2002-3,38,2002,2002-2,2002-06,,,2002,3
SSA-DATES1.csv,1,6/1/2010,6/28/2002,6/28/2002,2002-06,4,2002-06,2002,2002-3,39,2002,2002-2,2002-06,,,2002,3
SSA-DATES1.csv,1,6/1/2010,7/5/2002,7/5/2002,2002-07,4,2002-09,2002,2002-4,40,2002,2002-3,2002-09,,,2002,4
SSA-DATES1.csv,1,6/1/2010,7/12/2002,7/12/2002,2002-07,4,2002-09,2002,2002-4,41,2002,2002-3,2002-09,,,2002,4
SSA-DATES1.csv,1,6/1/2010,7/19/2002,7/19/2002,2002-07,4,2002-09,2002,2002-4,42,2002,2002-3,2002-09,,,2002,4
SSA-DATES1.csv,1,6/1/2010,7/26/2002,7/26/2002,2002-07,4,2002-09,2002,2002-4,43,2002,2002-3,2002-09,,,2002,4
SSA-DATES1.csv,1,6/1/2010,8/2/2002,8/2/2002,2002-08,5,2002-09,2002,2002-4,44,2002,2002-3,2002-09,,,2002,4
SSA-DATES1.csv,1,6/1/2010,8/9/2002,8/9/2002,2002-08,5,2002-09,2002,2002-4,45,2002,2002-3,2002-09,,,2002,4
SSA-DATES1.csv,1,6/1/2010,8/16/2002,8/16/2002,2002-08,5,2002-09,2002,2002-4,46,2002,2002-3,2002-09,,,2002,4
SSA-DATES1.csv,1,6/1/2010,8/23/2002,8/23/2002,2002-08,5,2002-09,2002,2002-4,47,2002,2002-3,2002-09,,,2002,4
SSA-DATES1.csv,1,6/1/2010,8/30/2002,8/30/2002,2002-08,5,2002-09,2002,2002-4,48,2002,2002-3,2002-09,,,2002,4
SSA-DATES1.csv,1,6/1/2010,9/6/2002,9/6/2002,2002-09,4,2002-09,2002,2002-4,49,2002,2002-3,2002-09,,,2002,4
SSA-DATES1.csv,1,6/1/2010,9/13/2002,9/13/2002,2002-09,4,2002-09,2002,2002-4,50,2002,2002-3,2002-09,,,2002,4
SSA-DATES1.csv,1,6/1/2010,9/20/2002,9/20/2002,2002-09,4,2002-09,2002,2002-4,51,2002,2002-3,2002-09,,,2002,4
SSA-DATES1.csv,1,6/1/2010,9/27/2002,9/27/2002,2002-09,4,2002-09,2002,2002-4,52,2002,2002-3,2002-09,,,2002,4
SSA-DATES1.csv,1,6/1/2010,10/4/2002,10/4/2002,2002-10,4,2002-12,2003,2003-1,1,2002,2002-4,2002-12,,,2003,1
SSA-DATES1.csv,1,6/1/2010,10/11/2002,10/11/2002,2002-10,4,2002-12,2003,2003-1,2,2002,2002-4,2002-12,,,2003,1
SSA-DATES1.csv,1,6/1/2010,10/18/2002,10/18/2002,2002-10,4,2002-12,2003,2003-1,3,2002,2002-4,2002-12,,,2003,1
SSA-DATES1.csv,1,6/1/2010,10/25/2002,10/25/2002,2002-10,4,2002-12,2003,2003-1,4,2002,2002-4,2002-12,,,2003,1
SSA-DATES1.csv,1,6/1/2010,11/1/2002,11/1/2002,2002-11,5,2002-12,2003,2003-1,5,2002,2002-4,2002-12,,,2003,1
SSA-DATES1.csv,1,6/1/2010,11/8/2002,11/8/2002,2002-11,5,2002-12,2003,2003-1,6,2002,2002-4,2002-12,,,2003,1
SSA-DATES1.csv,1,6/1/2010,11/15/2002,11/15/2002,2002-11,5,2002-12,2003,2003-1,7,2002,2002-4,2002-12,,,2003,1
SSA-DATES1.csv,1,6/1/2010,11/22/2002,11/22/2002,2002-11,5,2002-12,2003,2003-1,8,2002,2002-4,2002-12,,,2003,1
SSA-DATES1.csv,1,6/1/2010,11/29/2002,11/29/2002,2002-11,5,2002-12,2003,2003-1,9,2002,2002-4,2002-12,,,2003,1
SSA-DATES1.csv,1,6/1/2010,12/6/2002,12/6/2002,2002-12,4,2002-12,2003,2003-1,10,2002,2002-4,2002-12,,,2003,1
SSA-DATES1.csv,1,6/1/2010,12/13/2002,12/13/2002,2002-12,4,2002-12,2003,2003-1,11,2002,2002-4,2002-12,,,2003,1
SSA-DATES1.csv,1,6/1/2010,12/20/2002,12/20/2002,2002-12,4,2002-12,2003,2003-1,12,2002,2002-4,2002-12,,,2003,1
SSA-DATES1.csv,1,6/1/2010,12/27/2002,12/27/2002,2002-12,4,2002-12,2003,2003-1,13,2002,2002-4,2002-12,,,2003,1
SSA-DATES1.csv,1,6/1/2010,1/3/2003,1/3/2003,2003-01,5,2003-03,2003,2003-2,14,2003,2003-1,2003-03,,,2003,2
SSA-DATES1.csv,1,6/1/2010,1/10/2003,1/10/2003,2003-01,5,2003-03,2003,2003-2,15,2003,2003-1,2003-03,,,2003,2
SSA-DATES1.csv,1,6/1/2010,1/17/2003,1/17/2003,2003-01,5,2003-03,2003,2003-2,16,2003,2003-1,2003-03,,,2003,2
SSA-DATES1.csv,1,6/1/2010,1/24/2003,1/24/2003,2003-01,5,2003-03,2003,2003-2,17,2003,2003-1,2003-03,,,2003,2
SSA-DATES1.csv,1,6/1/2010,1/31/2003,1/31/2003,2003-01,5,2003-03,2003,2003-2,18,2003,2003-1,2003-03,,,2003,2
SSA-DATES1.csv,1,6/1/2010,2/7/2003,2/7/2003,2003-02,4,2003-03,2003,2003-2,19,2003,2003-1,2003-03,,,2003,2
SSA-DATES1.csv,1,6/1/2010,2/14/2003,2/14/2003,2003-02,4,2003-03,2003,2003-2,20,2003,2003-1,2003-03,,,2003,2
SSA-DATES1.csv,1,6/1/2010,2/21/2003,2/21/2003,2003-02,4,2003-03,2003,2003-2,21,2003,2003-1,2003-03,,,2003,2
SSA-DATES1.csv,1,6/1/2010,2/28/2003,2/28/2003,2003-02,4,2003-03,2003,2003-2,22,2003,2003-1,2003-03,,,2003,2
SSA-DATES1.csv,1,6/1/2010,3/7/2003,3/7/2003,2003-03,4,2003-03,2003,2003-2,23,2003,2003-1,2003-03,,,2003,2
SSA-DATES1.csv,1,6/1/2010,3/14/2003,3/14/2003,2003-03,4,2003-03,2003,2003-2,24,2003,2003-1,2003-03,,,2003,2
SSA-DATES1.csv,1,6/1/2010,3/21/2003,3/21/2003,2003-03,4,2003-03,2003,2003-2,25,2003,2003-1,2003-03,,,2003,2
SSA-DATES1.csv,1,6/1/2010,3/28/2003,3/28/2003,2003-03,4,2003-03,2003,2003-2,26,2003,2003-1,2003-03,,,2003,2
SSA-DATES1.csv,1,6/1/2010,4/4/2003,4/4/2003,2003-04,4,2003-06,2003,2003-3,27,2003,2003-2,2003-06,,,2003,3
SSA-DATES1.csv,1,6/1/2010,4/11/2003,4/11/2003,2003-04,4,2003-06,2003,2003-3,28,2003,2003-2,2003-06,,,2003,3
SSA-DATES1.csv,1,6/1/2010,4/18/2003,4/18/2003,2003-04,4,2003-06,2003,2003-3,29,2003,2003-2,2003-06,,,2003,3
SSA-DATES1.csv,1,6/1/2010,4/25/2003,4/25/2003,2003-04,4,2003-06,2003,2003-3,30,2003,2003-2,2003-06,,,2003,3
SSA-DATES1.csv,1,6/1/2010,5/2/2003,5/2/2003,2003-05,5,2003-06,2003,2003-3,31,2003,2003-2,2003-06,,,2003,3
SSA-DATES1.csv,1,6/1/2010,5/9/2003,5/9/2003,2003-05,5,2003-06,2003,2003-3,32,2003,2003-2,2003-06,,,2003,3
SSA-DATES1.csv,1,6/1/2010,5/16/2003,5/16/2003,2003-05,5,2003-06,2003,2003-3,33,2003,2003-2,2003-06,,,2003,3
SSA-DATES1.csv,1,6/1/2010,5/23/2003,5/23/2003,2003-05,5,2003-06,2003,2003-3,34,2003,2003-2,2003-06,,,2003,3
SSA-DATES1.csv,1,6/1/2010,5/30/2003,5/30/2003,2003-05,5,2003-06,2003,2003-3,35,2003,2003-2,2003-06,,,2003,3
SSA-DATES1.csv,1,6/1/2010,6/6/2003,6/6/2003,2003-06,4,2003-06,2003,2003-3,36,2003,2003-2,2003-06,,,2003,3
SSA-DATES1.csv,1,6/1/2010,6/13/2003,6/13/2003,2003-06,4,2003-06,2003,2003-3,37,2003,2003-2,2003-06,,,2003,3
SSA-DATES1.csv,1,6/1/2010,6/20/2003,6/20/2003,2003-06,4,2003-06,2003,2003-3,38,2003,2003-2,2003-06,,,2003,3
SSA-DATES1.csv,1,6/1/2010,6/27/2003,6/27/2003,2003-06,4,2003-06,2003,2003-3,39,2003,2003-2,2003-06,,,2003,3
SSA-DATES1.csv,1,6/1/2010,7/4/2003,7/4/2003,2003-07,4,2003-09,2003,2003-4,40,2003,2003-3,2003-09,,,2003,4
SSA-DATES1.csv,1,6/1/2010,7/11/2003,7/11/2003,2003-07,4,2003-09,2003,2003-4,41,2003,2003-3,2003-09,,,2003,4
SSA-DATES1.csv,1,6/1/2010,7/18/2003,7/18/2003,2003-07,4,2003-09,2003,2003-4,42,2003,2003-3,2003-09,,,2003,4
SSA-DATES1.csv,1,6/1/2010,7/25/2003,7/25/2003,2003-07,4,2003-09,2003,2003-4,43,2003,2003-3,2003-09,,,2003,4
SSA-DATES1.csv,1,6/1/2010,8/1/2003,8/1/2003,2003-08,5,2003-09,2003,2003-4,44,2003,2003-3,2003-09,,,2003,4
SSA-DATES1.csv,1,6/1/2010,8/8/2003,8/8/2003,2003-08,5,2003-09,2003,2003-4,45,2003,2003-3,2003-09,,,2003,4
SSA-DATES1.csv,1,6/1/2010,8/15/2003,8/15/2003,2003-08,5,2003-09,2003,2003-4,46,2003,2003-3,2003-09,,,2003,4
SSA-DATES1.csv,1,6/1/2010,8/22/2003,8/22/2003,2003-08,5,2003-09,2003,2003-4,47,2003,2003-3,2003-09,,,2003,4
SSA-DATES1.csv,1,6/1/2010,8/29/2003,8/29/2003,2003-08,5,2003-09,2003,2003-4,48,2003,2003-3,2003-09,,,2003,4
SSA-DATES1.csv,1,6/1/2010,9/5/2003,9/5/2003,2003-09,4,2003-09,2003,2003-4,49,2003,2003-3,2003-09,,,2003,4
SSA-DATES1.csv,1,6/1/2010,9/12/2003,9/12/2003,2003-09,4,2003-09,2003,2003-4,50,2003,2003-3,2003-09,,,2003,4
SSA-DATES1.csv,1,6/1/2010,9/19/2003,9/19/2003,2003-09,4,2003-09,2003,2003-4,51,2003,2003-3,2003-09,,,2003,4
SSA-DATES1.csv,1,6/1/2010,9/26/2003,9/26/2003,2003-09,4,2003-09,2003,2003-4,52,2003,2003-3,2003-09,,,2003,4
SSA-DATES1.csv,1,6/1/2010,10/3/2003,10/3/2003,2003-10,5,2003-12,2004,2004-1,1,2003,2003-4,2003-12,,,2004,1
SSA-DATES1.csv,1,6/1/2010,10/10/2003,10/10/2003,2003-10,5,2003-12,2004,2004-1,2,2003,2003-4,2003-12,,,2004,1
SSA-DATES1.csv,1,6/1/2010,10/17/2003,10/17/2003,2003-10,5,2003-12,2004,2004-1,3,2003,2003-4,2003-12,,,2004,1
